Fiscal Year,Ad Campaign Name,Agency,Org Ad Placed In (Agency submission),Org Ad Placed In (MOECM Standardized),Outlet Channel (Agency submission),Type of Media (MOECM),Language,Spend Amount,Vendor Name,Ad Placement Method,Quarter (MOECM),Ad Start Date,Ad End Date,Purpose
FY23,Vision Zero Fall 2022,DOT,2970 Spectrum Queens Center-Cab,Spectrum,Television Channel,TV,English,1997,Sherry Matthews Group,Placement Vendor,Q2,12/01/2022,12/31/2022,Programming: Other
FY23,Vision Zero Fall 2022,DOT,ITVN-TV,ITVN International Network,Television Channel,TV,English,2142,Sherry Matthews Group,Placement Vendor,Q2,12/01/2022,12/31/2022,Programming: Other
FY23,Vision Zero Fall 2022,DOT,MNN-TV (Manhattan Neighborhood Network),Manhattan Neighborhood Network,Television Channel,TV,English,2307,Sherry Matthews Group,Placement Vendor,Q1,07/12/2022,11/30/2022,Programming: Other
FY23,Vision Zero Fall 2022,DOT,WCBS-AM,Audacy (1010 WINS),Radio Channel,Radio,English,2546,Sherry Matthews Group,Placement Vendor,Q1,07/12/2022,11/30/2022,Programming: Other
FY23,Vision Zero Fall 2022,DOT,MNN-TV (Manhattan Nelghborhood Network),Manhattan Neighborhood Network,Television Channel,TV,English,2740,Sherry Matthews Group,Placement Vendor,Q2,12/01/2022,12/31/2022,Programming: Other
FY23,Vision Zero Fall 2022,DOT,WRSH-FM,Radio Soleil,Radio Channel,Radio,English,2754,Sherry Matthews Group,Placement Vendor,Q2,12/01/2022,12/31/2022,Programming: Other
FY23,Vision Zero Fall 2022,DOT,WBAI-FM,Pacifica Radio (WBAI),Radio Channel,Radio,English,2813,Sherry Matthews Group,Placement Vendor,Q2,12/01/2022,12/31/2022,Programming: Other
FY23,Vision Zero Fall 2022,DOT,Dunya International,Weekly Dunya International,Newspaper (Print),Print,English,3000,Sherry Matthews Group,Placement Vendor,Q2,12/01/2022,12/31/2022,Programming: Other
FY23,Vision Zero Fall 2022,DOT,WRSH-FM,Radio Soleil,Radio Channel,Radio,English,3672,Sherry Matthews Group,Placement Vendor,Q1,07/12/2022,11/30/2022,Programming: Other
FY23,Vision Zero Fall 2022,DOT,NWBK-TV.,NWBK-TV,Television Channel,TV,English,3749,Sherry Matthews Group,Placement Vendor,Q2,12/01/2022,12/31/2022,Programming: Other
FY23,Vision Zero Fall 2022,DOT,WBAI-FM,Pacifica Radio (WBAI),Radio Channel,Radio,English,3750,Sherry Matthews Group,Placement Vendor,Q1,07/12/2022,11/30/2022,Programming: Other
FY23,Vision Zero Fall 2022,DOT,WPAT-SU,Sunuafrik Radio,Radio Channel,Radio,English,3927,Sherry Matthews Group,Placement Vendor,Q2,12/01/2022,12/31/2022,Programming: Other
FY23,Vision Zero Fall 2022,DOT,Afrikanspots,Afrikanspot,Digital Media,Digital,English,4000,Sherry Matthews Group,Placement Vendor,Q2,12/01/2022,12/31/2022,Programming: Other
FY23,Vision Zero Fall 2022,DOT,Jewish Voice,Jewish Voice Inc.,Newspaper (Print),Print,English,4400,Sherry Matthews Group,Placement Vendor,Q2,12/01/2022,12/31/2022,Programming: Other
FY23,Vision Zero Fall 2022,DOT,2979 Spectrum Queens South,Spectrum,Television Channel,TV,English,4542,Sherry Matthews Group,Placement Vendor,Q1,07/12/2022,11/30/2022,Programming: Other
FY23,Vision Zero Fall 2022,DOT,WBLS-FM,WBLS,Radio Channel,Radio,English,4665,Sherry Matthews Group,Placement Vendor,Q2,12/01/2022,12/31/2022,Programming: Other
FY23,Vision Zero Fall 2022,DOT,WQHT-FM,HOT97,Radio Channel,Radio,English,4665,Sherry Matthews Group,Placement Vendor,Q2,12/01/2022,12/31/2022,Programming: Other
FY23,Vision Zero Fall 2022,DOT,WFUT-TV,Univision,Television Channel,TV,English,4866,Sherry Matthews Group,Placement Vendor,Q2,12/01/2022,12/31/2022,Programming: Other
FY23,Vision Zero Fall 2022,DOT,EZ96-AM,Easy 96,Radio Channel,Radio,English,4896,Sherry Matthews Group,Placement Vendor,Q1,07/12/2022,11/30/2022,Programming: Other
FY23,Vision Zero Fall 2022,DOT,NWBK-TV,NWBK-TV,Television Channel,TV,English,4998,Sherry Matthews Group,Placement Vendor,Q1,07/12/2022,11/30/2022,Programming: Other
FY23,Vision Zero Fall 2022,DOT,9399 Spectrum Manhattan,Spectrum,Television Channel,TV,English,5064,Sherry Matthews Group,Placement Vendor,Q2,12/01/2022,12/31/2022,Programming: Other
FY23,Vision Zero Fall 2022,DOT,WVIP-IR,WVIP 93.5 FM,Radio Channel,Radio,English,5100,Sherry Matthews Group,Placement Vendor,Q2,12/01/2022,12/31/2022,Programming: Other
FY23,Vision Zero Fall 2022,DOT,2965 Spectrum Queens LIC Z-Cab,Spectrum,Television Channel,TV,English,5572,Sherry Matthews Group,Placement Vendor,Q1,07/12/2022,11/30/2022,Programming: Other
FY23,Vision Zero Fall 2022,DOT,1444 Spectrum Staten Island,Spectrum,Television Channel,TV,English,5707,Sherry Matthews Group,Placement Vendor,Q1,07/12/2022,11/30/2022,Programming: Other
FY23,Vision Zero Fall 2022,DOT,1945 Spectrum Brooklyn,Spectrum,Television Channel,TV,English,5897,Sherry Matthews Group,Placement Vendor,Q1,07/12/2022,11/30/2022,Programming: Other
FY23,Vision Zero Fall 2022,DOT,2975 Spectrum Queens East,Spectrum,Television Channel,TV,English,5952,Sherry Matthews Group,Placement Vendor,Q1,07/12/2022,11/30/2022,Programming: Other
FY23,Vision Zero Fall 2022,DOT,2970 Spectrum Queens Center-Cab,Spectrum,Television Channel,TV,English,5990,Sherry Matthews Group,Placement Vendor,Q1,07/12/2022,11/30/2022,Programming: Other
FY23,Vision Zero Fall 2022,DOT,WNYW-TV,FOX,Television Channel,TV,English,6299,Sherry Matthews Group,Placement Vendor,Q2,12/01/2022,12/31/2022,Programming: Other
FY23,Vision Zero Fall 2022,DOT,WVIP-BU,WVIP 93.5 FM,Radio Channel,Radio,English,6309,Sherry Matthews Group,Placement Vendor,Q1,07/12/2022,11/30/2022,Programming: Other
FY23,Vision Zero Fall 2022,DOT,WFAN-FM,Audacy (1010 WINS),Radio Channel,Radio,English,6664,Sherry Matthews Group,Placement Vendor,Q2,12/01/2022,12/31/2022,Programming: Other
FY23,Vision Zero Fall 2022,DOT,WNEW-FM,Audacy (1010 WINS),Radio Channel,Radio,English,6664,Sherry Matthews Group,Placement Vendor,Q2,12/01/2022,12/31/2022,Programming: Other
FY23,Vision Zero Fall 2022,DOT,NTD-TV (New Tang Dynasty Television),New Tang Dynasty Television,Television Channel,TV,English,8925,Sherry Matthews Group,Placement Vendor,Q2,12/01/2022,12/31/2022,Programming: Other
FY23,Vision Zero Fall 2022,DOT,WSNR-PO,Davidzon Radio (WSNR 620 AM),Radio Channel,Radio,English,9104,Sherry Matthews Group,Placement Vendor,Q2,12/01/2022,12/31/2022,Programming: Other
FY23,Working at DOT,DOT,Google Ad Words,Google,Social Media,Other,English,9571,Graystone,,Q4,04/24/2023,06/01/2023,Recruitment
FY23,Working at DOT,DOT,Google Display,Google,Social Media,Other,English,9571,Graystone,,Q4,04/24/2023,06/01/2023,Recruitment
FY23,Vision Zero Fall 2022,DOT,WPIX-TV,PIX 11,Television Channel,TV,English,9835,Sherry Matthews Group,Placement Vendor,Q2,12/01/2022,12/31/2022,Programming: Other
FY23,Vision Zero Spring FY23,DOT,GSTV: Gas Station Ads,Gas station TV,Other,Other,English,9900,Sherry Matthews Group,Placement Vendor,Q4,05/01/2023,05/28/2023,Programmatic: Other
FY23,Vision Zero Fall 2022,DOT,WINS-AM,Audacy (1010 WINS),Radio Channel,Radio,English,9996,Sherry Matthews Group,Placement Vendor,Q2,12/01/2022,12/31/2022,Programming: Other
FY23,Vision Zero Fall 2022,DOT,WXBK-FM,Audacy (1010 WINS),Radio Channel,Radio,English,9996,Sherry Matthews Group,Placement Vendor,Q2,12/01/2022,12/31/2022,Programming: Other
FY23,Vision Zero Fall 2022,DOT,WSNR-AM,Davidzon Radio (WSNR 620 AM),Radio Channel,Radio,English,10200,Sherry Matthews Group,Placement Vendor,Q2,12/01/2022,12/31/2022,Programming: Other
FY23,Vision Zero Fall 2022,DOT,WZRC-AM,WZRC - Chinese Cantonese Radio,Radio Channel,Radio,English,10404,Sherry Matthews Group,Placement Vendor,Q2,12/01/2022,12/31/2022,Programming: Other
FY23,Vision Zero Fall 2022,DOT,NTD-TV (New Tang Dynasty Television),New Tang Dynasty Television,Television Channel,TV,English,11900,Sherry Matthews Group,Placement Vendor,Q1,07/12/2022,11/30/2022,Programming: Other
FY23,Vision Zero Fall 2022,DOT,WFUT-TV,Univision,Television Channel,TV,English,12049,Sherry Matthews Group,Placement Vendor,Q1,07/12/2022,11/30/2022,Programming: Other
FY23,Vision Zero Fall 2022,DOT,BRIC-TV,BRIC TV,Television Channel,TV,English,13915,Sherry Matthews Group,Placement Vendor,Q2,12/01/2022,12/31/2022,Programming: Other
FY23,Vision Zero Fall 2022,DOT,WFAN-AM,Audacy (1010 WINS),Radio Channel,Radio,English,14213,Sherry Matthews Group,Placement Vendor,Q1,07/12/2022,11/30/2022,Programming: Other
FY23,Vision Zero Fall 2022,DOT,WCBS-TV,Audacy (1010 WINS),Television Channel,TV,English,14238,Sherry Matthews Group,Placement Vendor,Q2,12/01/2022,12/31/2022,Programming: Other
FY23,Vision Zero Spring FY23,DOT,Sports Marketing: Staten Island Ferry Hawks,Staten Island Ferry,Other,Other,English,15000,Sherry Matthews Group,Placement Vendor,Q4,05/01/2023,05/28/2023,Programmatic: Other
FY23,Vision Zero Fall 2022,DOT,WXTV-TV,Univision,Television Channel,TV,English,15124,Sherry Matthews Group,Placement Vendor,Q2,12/01/2022,12/31/2022,Programming: Other
FY23,Working at DOT,DOT,FACEBOOK.COM,Meta,Social Media,Other,English,15319,Graystone,,Q4,04/24/2023,06/01/2023,Recruitment
FY23,Working at DOT,DOT,INSTAGRAM,Meta,Social Media,Other,English,15319,Graystone,,Q4,04/24/2023,06/01/2023,Recruitment
FY23,Working at DOT,DOT,"TWITTER, INC.",Twitter,Social Media,Other,English,15319,Graystone,,Q4,04/24/2023,06/01/2023,Recruitment
FY23,Working at DOT,DOT,In Market,In Market,Social Media,Other,English,15536,Graystone,,Q4,04/24/2023,06/01/2023,Recruitment
FY23,Working at DOT,DOT,LINKEDIN,LinkedIn,Social Media,Other,English,15536,Graystone,,Q4,04/24/2023,06/01/2023,Recruitment
FY23,Vision Zero Fall 2022,DOT,9399 Spectrum Manhattan,Spectrum,Television Channel,TV,English,15759,Sherry Matthews Group,Placement Vendor,Q1,07/12/2022,11/30/2022,Programming: Other
FY23,Vision Zero Spring FY23,DOT,AllOver Media Gas Station Ads,Gas station TV,Other,Other,English,15919,Sherry Matthews Group,Placement Vendor,Q4,05/01/2023,05/28/2023,Programmatic: Other
FY23,Vision Zero Fall 2022,DOT,WCBS-FM,Audacy (1010 WINS),Radio Channel,Radio,English,16660,Sherry Matthews Group,Placement Vendor,Q2,12/01/2022,12/31/2022,Programming: Other
FY23,Vision Zero Fall 2022,DOT,WNYW-TV,FOX,Television Channel,TV,English,17672,Sherry Matthews Group,Placement Vendor,Q1,07/12/2022,11/30/2022,Programming: Other
FY23,Vision Zero Spring FY23,DOT,Ferry Ads,Ferry Ads,Other,Other,English,19897,Sherry Matthews Group,Placement Vendor,Q4,05/01/2023,05/28/2023,Programmatic: Other
FY23,Vision Zero Fall 2022,DOT,WABC-TV,ABC (WABC),Television Channel,TV,English,21016,Sherry Matthews Group,Placement Vendor,Q2,12/01/2022,12/31/2022,Programming: Other
FY23,Vision Zero Spring FY23,DOT,Brooklyn Cyclones,Brooklyn Cyclones,Other,Other,English,22500,Sherry Matthews Group,Placement Vendor,Q4,05/01/2023,05/28/2023,Programmatic: Other
FY23,Vision Zero Fall 2022,DOT,WNBC-TV,WNBC,Television Channel,TV,English,23531,Sherry Matthews Group,Placement Vendor,Q2,12/01/2022,12/31/2022,Programming: Other
FY23,Vision Zero Fall 2022,DOT,WPIX-TV,PIX 11,Television Channel,TV,English,27138,Sherry Matthews Group,Placement Vendor,Q1,07/12/2022,11/30/2022,Programming: Other
FY23,Vision Zero Fall 2022,DOT,WNJU-TV,Telemundo,Television Channel,TV,English,28535,Sherry Matthews Group,Placement Vendor,Q2,12/01/2022,12/31/2022,Programming: Other
FY23,Vision Zero Fall 2022,DOT,WCBS-TV,Audacy (1010 WINS),Television Channel,TV,English,43733,Sherry Matthews Group,Placement Vendor,Q1,07/12/2022,11/30/2022,Programming: Other
FY23,Vision Zero Fall 2022,DOT,WXTV-TV,Univision,Television Channel,TV,English,45371,Sherry Matthews Group,Placement Vendor,Q1,07/12/2022,11/30/2022,Programming: Other
FY23,Vision Zero Fall 2022,DOT,WABC-TV,ABC (WABC),Television Channel,TV,English,52934,Sherry Matthews Group,Placement Vendor,Q1,07/12/2022,11/30/2022,Programming: Other
FY23,Vision Zero Spring FY23,DOT,Katz-OTT,Katz-OTT,Radio Channel,Radio,English,60614,Sherry Matthews Group,Placement Vendor,Q4,05/01/2023,05/28/2023,Programmatic: Other
FY23,Vision Zero Fall 2022,DOT,New York Press Service,New York Press Service,Newspaper (Print),Print,English,69123,Sherry Matthews Group,Placement Vendor,Q1,07/12/2022,11/30/2022,Programming: Other
FY23,Vision Zero Fall 2022,DOT,WNBC-TV,WNBC,Television Channel,TV,English,70592,Sherry Matthews Group,Placement Vendor,Q1,07/12/2022,11/30/2022,Programming: Other
FY23,Vision Zero Fall 2022,DOT,Traffic & Weather Network,Total Traffic & Weather Network,Radio Channel,Radio,English,70982,Sherry Matthews Group,Placement Vendor,Q2,12/01/2022,12/31/2022,Programming: Other
FY23,Vision Zero Fall 2022,DOT,WNJU-TV,Telemundo,Television Channel,TV,English,88496,Sherry Matthews Group,Placement Vendor,Q1,07/12/2022,11/30/2022,Programming: Other
FY23,Vision Zero Fall 2022,DOT,New York Press Service,New York Press Service,Newspaper (Print),Print,English,89664,Sherry Matthews Group,Placement Vendor,Q2,12/01/2022,12/31/2022,Programming: Other
FY23,Cinco de Mayo Social Boosted Posts,DOT,FACEBOOK.COM,Meta,Social Media,Other,"English, Spanish",5000,Miller,Placement Vendor,Q4,05/02/2023,05/05/2023,Programmatic: Other
FY23,Cinco de Mayo Social Boosted Posts,DOT,FACEBOOK.COM,Meta,Social Media,Other,"English, Spanish",5000,Miller,Placement Vendor,Q4,05/02/2023,05/05/2023,Programmatic: Other
FY23,Reimagine Cross Bronx Round 2,DOT,FACEBOOK.COM,Meta,Social Media,Other,"English, Spanish",2335,Miller,Placement Vendor,Q4,06/01/2023,06/20/2023,Programmatic: Other
FY23,Reimagine Cross Bronx Round 3,DOT,FACEBOOK.COM,Meta,Social Media,Other,"English, Spanish",2335,Miller,Placement Vendor,Q4,06/01/2023,06/20/2023,Programmatic: Other
FY23,Vision Zero Spring FY23,DOT,Spectrum,Spectrum,Television Channel,Digital,"English, Spanish",3609,Sherry Matthews Group,Placement Vendor,Q4,05/22/2023,06/22/2023,Programmatic: Other
FY23,Vision Zero Spring FY23,DOT,Spectrum,Spectrum,Television Channel,TV,"English, Spanish",79091,Sherry Matthews Group,Placement Vendor,Q4,05/04/2023,05/21/2023,Programmatic: Other
FY23,Vision Zero Spring FY23,DOT,Spectrum,Spectrum,Newspaper (Digital),Digital,"English, Spanish",7283,Sherry Matthews Group,Placement Vendor,Q4,05/22/2023,06/22/2023,Programmatic: Other
FY23,Vision Zero Spring FY23,DOT,Spectrum,Spectrum,Television Channel,Digital,"English, Spanish",3609,Sherry Matthews Group,Placement Vendor,Q4,05/22/2023,06/22/2023,Programmatic: Other
FY23,Vision Zero Spring FY23,DOT,Bronx Free Press,The Bronx Free Press,Newspaper (Print),Print,"English, Spanish",835,Sherry Matthews Group,Placement Vendor,Q4,06/07/2023,06/07/2023,Programmatic: Other
FY23,Vision Zero Spring FY23,DOT,Manhattan Times,The Manhattan Times,Newspaper (Print),Print,"English, Spanish",835,Sherry Matthews Group,Placement Vendor,Q4,06/07/2023,06/07/2023,Programmatic: Other
FY23,Vision Zero Spring FY23,DOT,Manhattan Times,The Manhattan Times,Newspaper (Print),Print,"English, Spanish",835,Sherry Matthews Group,Placement Vendor,Q4,05/31/2023,05/31/2023,Programmatic: Other
FY23,Vision Zero Spring FY23,DOT,Manhattan Times,The Manhattan Times,Newspaper (Print),Print,"English, Spanish",835,Sherry Matthews Group,Placement Vendor,Q4,06/14/2023,06/14/2023,Programmatic: Other
FY23,DOT April 2023 Boosted,DOT,"TWITTER, INC.",Twitter,Social Media,Other,"English, Spanish",10500,Miller,Placement Vendor,Q4,04/06/2023,04/27/2023,Programmatic: Other
FY23,DOT April 2023 Boosted,DOT,"TWITTER, INC.",Twitter,Social Media,Other,"English, Spanish",2000,Miller,Placement Vendor,Q4,04/10/2023,04/10/2023,Programmatic: Other
FY23,Cinco de Mayo Social Boosted Posts,DOT,"TWITTER, INC.",Twitter,Social Media,Other,"English, Spanish",5000,Miller,Placement Vendor,Q4,05/02/2023,05/05/2023,Programmatic: Other
FY23,Cinco de Mayo Social Boosted Posts,DOT,"TWITTER, INC.",Twitter,Social Media,Other,"English, Spanish",5000,Miller,Placement Vendor,Q4,05/02/2023,05/05/2023,Programmatic: Other
FY23,Reimagine Cross Bronx Round 6,DOT,"TWITTER, INC.",Twitter,Social Media,Other,"English, Spanish",2178,Miller,Placement Vendor,Q4,06/01/2023,06/20/2023,Programmatic: Other
FY23,Reimagine Cross Bronx Round 7,DOT,"TWITTER, INC.",Twitter,Social Media,Other,"English, Spanish",2316,Miller,Placement Vendor,Q4,06/01/2023,06/20/2023,Programmatic: Other
FY23,Open Streets Car Free Earth Day,DOT,YOU TUBE,Youtube,Social Media,Other,"English, Spanish",768,Miller,Placement Vendor,Q4,04/19/2023,04/22/2023,Programmatic: Other
FY23,Vision Zero Spring FY23,DOT,Haiti Liberte,Haiti Liberté,Newspaper (Print),Print,English/French,1450,Sherry Matthews Group,Placement Vendor,Q4,06/14/2023,06/14/2023,Programmatic: Other
FY23,Vision Zero Spring FY23,DOT,Haiti Proges,Haiti Progres,Newspaper (Print),Print,English/French,1428,Sherry Matthews Group,Placement Vendor,Q4,06/21/2023,06/21/2023,Programmatic: Other
FY23,Vision Zero Spring FY23,DOT,Dunya International,Weekly Dunya International,Newspaper (Print),Print,English/Urdu,1500,Sherry Matthews Group,Placement Vendor,Q4,06/06/2023,06/06/2023,Programmatic: Other
FY23,Vision Zero Spring FY23,DOT,WVIP-BU,WVIP 93.5 FM,Radio Channel,Radio,French,8078,Sherry Matthews Group,Placement Vendor,Q4,05/01/2023,06/11/2023,Programmatic: Other
FY23,Vision Zero Spring FY23,DOT,WRSH-FM,Radio Soleil,Radio Channel,Radio,French,1224,Sherry Matthews Group,Placement Vendor,Q4,05/29/2023,06/08/2023,Programmatic: Other
FY23,Vision Zero Spring FY23,DOT,WRSH-FM,Radio Soleil,Radio Channel,Radio,French,2448,Sherry Matthews Group,Placement Vendor,Q4,05/01/2023,05/26/2023,Programmatic: Other
FY23,Vision Zero Spring FY23,DOT,WPAT-SU,Sunuafrik Radio,Radio Channel,Radio,French,3672,Sherry Matthews Group,Placement Vendor,Q4,05/01/2023,06/30/2023,Programmatic: Other
FY23,Vision Zero Spring FY23,DOT,WPAT-SU,Sunuafrik Radio,Radio Channel,Radio,French,612,Sherry Matthews Group,Placement Vendor,Q4,04/24/2023,04/30/2023,Programmatic: Other
FY23,Truck Safety,DOT,WRSH,Radio Soleil,Radio Channel,Radio,Haitian Creole,3060,Sherry Matthews Group,Placement Vendor,Q2,11/21/2022,12/18/2022,Programmatic: Other
FY23,Vision Zero Spring FY23,DOT,Haitian Times,The Haitian Times,Newspaper (Digital),Digital,Haitian Creole,0,Sherry Matthews Group,Placement Vendor,Q4,04/14/2023,05/31/2023,Programmatic: Other
FY23,Vision Zero Spring FY23,DOT,Haitian Times,The Haitian Times,Newspaper (Digital),Digital,Haitian Creole,0,Sherry Matthews Group,Placement Vendor,Q4,04/14/2023,06/30/2023,Programmatic: Other
FY23,Vision Zero Fall 2022,DOT,Mishpacha Jewish Family Weekly,Mishpacha magazine,Newspaper (Print),Print,Hebrew,995,Sherry Matthews Group,Placement Vendor,Q1,07/12/2022,11/30/2022,Programming: Other
FY23,Vision Zero Fall 2022,DOT,WWTR-AM,WWTR - EBC Radio,Radio Channel,Radio,"Hindi, Bengali",680,Sherry Matthews Group,Placement Vendor,Q1,07/12/2022,11/30/2022,Programming: Other
FY23,Vision Zero Spring FY23,DOT,EZ96-AM,Easy 96,Radio Channel,Radio,Hindi/Urdu,7560,Sherry Matthews Group,Placement Vendor,Q4,05/01/2023,06/11/2023,Programmatic: Other
FY23,Vision Zero Spring FY23,DOT,WVIP-IR,WVIP 93.5 FM,Radio Channel,Radio,Korean,3060,Sherry Matthews Group,Placement Vendor,Q4,05/01/2023,05/28/2023,Programmatic: Other
FY23,Summer Streets,DOT,KOREAN DAILY (NEW YORK),Korea Daily,Newspaper (Print),Print,Korean,2827,Miller,Placement Vendor,Q1,07/18/2022,08/01/2022,Programmatic: Other
FY23,Vision Zero Spring FY23,DOT,Korea Daily,Korea Daily,Newspaper (Digital),Digital,Korean,1000,Sherry Matthews Group,Placement Vendor,Q4,04/14/2023,06/01/2023,Programmatic: Other
FY23,Vision Zero Spring FY23,DOT,Korea Daily,Korea Daily,Newspaper (Print),Print,Korean,1800,Sherry Matthews Group,Placement Vendor,Q4,05/24/2023,06/03/2023,Programmatic: Other
FY23,Vision Zero Spring FY23,DOT,Korea Times,Korea Times New York,Newspaper (Print),Print,Korean,2720,Sherry Matthews Group,Placement Vendor,Q4,05/24/2023,06/16/2023,Programmatic: Other
FY23,Vision Zero Spring FY23,DOT,KBN-TV,Korean Broadcasting Network,Television Channel,TV,Korean,13872,Sherry Matthews Group,Placement Vendor,Q4,05/29/2023,06/11/2023,Programmatic: Other
FY23,Vision Zero Spring FY23,DOT,Korean Channel TV,Korean Broadcasting Network,Television Channel,TV,Korean,15300,Sherry Matthews Group,Placement Vendor,Q4,05/01/2023,06/11/2023,Programmatic: Other
FY23,Vision Zero Spring FY23,DOT,WWRU-AM,K-Radio AM 1660,Radio Channel,Radio,Korean,7554,Sherry Matthews Group,Placement Vendor,Q4,05/22/2023,06/09/2023,Programmatic: Other
FY23,Vision Zero Fall 2022,DOT,TKC-TV (The Korean Channel TV),Korean Channel TV,Television Channel,TV,Korean,8160,Sherry Matthews Group,Placement Vendor,Q2,12/01/2022,12/31/2022,Programming: Other
FY23,Vision Zero Fall 2022,DOT,KBN-TV (Korean Broadcasting Network),Korean Broadcasting Network,Television Channel,TV,Korean,8670,Sherry Matthews Group,Placement Vendor,Q2,12/01/2022,12/31/2022,Programming: Other
FY23,Vision Zero Fall 2022,DOT,WWRU-AM,K-Radio AM 1660,Radio Channel,Radio,Korean,10404,Sherry Matthews Group,Placement Vendor,Q2,12/01/2022,12/31/2022,Programming: Other
FY23,Vision Zero Fall 2022,DOT,TKC-TV (The Korean Channel TV),Korean Channel TV,Television Channel,TV,Korean,10880,Sherry Matthews Group,Placement Vendor,Q1,07/12/2022,11/30/2022,Programming: Other
FY23,Vision Zero Fall 2022,DOT,KBN-TV (Korean Broadcasting Network),Korean Broadcasting Network,Television Channel,TV,Korean,11560,Sherry Matthews Group,Placement Vendor,Q1,07/12/2022,11/30/2022,Programming: Other
FY23,Vision Zero Fall 2022,DOT,WWRU-AM,K-Radio AM 1660,Radio Channel,Radio,Korean,13872,Sherry Matthews Group,Placement Vendor,Q1,07/12/2022,11/30/2022,Programming: Other
FY23,Vision Zero Fall 2022,DOT,Korean New York Daily,Korea Daily,Newspaper (Print),Print,Korean/English,1000,Sherry Matthews Group,Placement Vendor,Q1,07/12/2022,11/30/2022,Programming: Other
FY23,Summer Streets,DOT,HAITI LIBERTE,Haiti Liberté,Newspaper (Print),Print,,5471,Miller,Placement Vendor,Q1,07/20/2022,08/03/2022,Programmatic: Other
FY23,EV Charging Awareness,DOT,LINKEDIN,LinkedIn,Social Media,Other,,371,Miller,Placement Vendor,Q1,09/07/2022,10/07/2022,Programmatic: Other
FY23,Speed Cameras Save Lives,DOT,FACEBOOK.COM,Meta,Social Media,Other,,5064,Miller,Placement Vendor,Q1,07/25/2022,07/31/2022,Programmatic: Other
FY23,Speed Cameras Save Lives,DOT,INSTAGRAM,Meta,Social Media,Other,,4514,Miller,Placement Vendor,Q1,07/25/2022,07/31/2022,Programmatic: Other
FY23,Speed Cameras save lives,DOT,FACEBOOK.COM,Meta,Social Media,Other,,22936,Miller,Placement Vendor,Q1,08/01/2022,08/31/2022,Programmatic: Other
FY23,Speed Cameras save lives,DOT,INSTAGRAM,Meta,Social Media,Other,,20486,Miller,Placement Vendor,Q1,08/01/2022,08/31/2022,Programmatic: Other
FY23,EV Charging Awareness,DOT,FACEBOOK.COM,Meta,Social Media,Other,,2459,Miller,Placement Vendor,Q1,09/07/2022,10/07/2022,Programmatic: Other
FY23,EV Charging Awareness,DOT,INSTAGRAM,Meta,Social Media,Other,,2078,Miller,Placement Vendor,Q1,09/07/2022,10/07/2022,Programmatic: Other
FY23,Speed Cameras Save Lives,DOT,"TWITTER, INC.",Twitter,Social Media,Other,,5223,Miller,Placement Vendor,Q1,07/25/2022,07/31/2022,Programmatic: Other
FY23,Speed Cameras save lives,DOT,"TWITTER, INC.",Twitter,Social Media,Other,,22777,Miller,Placement Vendor,Q1,08/01/2022,08/31/2022,Programmatic: Other
FY23,EV Charging Awareness,DOT,"TWITTER, INC.",Twitter,Social Media,Other,,1989,Miller,Placement Vendor,Q1,09/07/2022,10/07/2022,Programmatic: Other
FY23,Vision Zero Spring FY23,DOT,WSNR-PO,Davidzon Radio (WSNR 620 AM),Radio Channel,Radio,Polish,5202,Sherry Matthews Group,Placement Vendor,Q4,05/01/2023,06/11/2023,Programmatic: Other
FY23,Vision Zero Spring FY23,DOT,ITVN,ITVN International Network,Television Channel,TV,Polish,1190,Sherry Matthews Group,Placement Vendor,Q4,05/29/2023,06/11/2023,Programmatic: Other
FY23,Vision Zero Spring FY23,DOT,ITVN,ITVN International Network,Television Channel,TV,Polish,2380,Sherry Matthews Group,Placement Vendor,Q4,05/01/2023,05/28/2023,Programmatic: Other
FY23,Vision Zero Spring FY23,DOT,ITVN,ITVN International Network,Television Channel,TV,Polish,595,Sherry Matthews Group,Placement Vendor,Q4,04/24/2023,04/30/2023,Programmatic: Other
FY23,Vision Zero Fall 2022,DOT,ITVN-TV,ITVN International Network,Television Channel,TV,Polish,2856,Sherry Matthews Group,Placement Vendor,Q1,07/12/2022,11/30/2022,Programming: Other
FY23,Vision Zero Spring FY23,DOT,WSNR-AM,Davidzon Radio (WSNR 620 AM),Radio Channel,Radio,Russian,8033,Sherry Matthews Group,Placement Vendor,Q4,05/01/2023,06/09/2023,Programmatic: Other
FY23,Vision Zero Spring FY23,DOT,Druzhba,Druzhhba Russian Magazine,Newspaper (Print),Print,Russian,675,Sherry Matthews Group,Placement Vendor,Q4,06/10/2023,06/05/2023,Programmatic: Other
FY23,Vision Zero Spring FY23,DOT,Druzhba,Druzhhba Russian Magazine,Newspaper (Print),Print,Russian,675,Sherry Matthews Group,PLacement Vendor,Q4,05/25/2023,06/19/2023,Programmatic: Other
FY23,Vision Zero Spring FY23,DOT,Forum Daily,ForumDaily Inc,Newspaper (Digital),Digital,Russian,1584,Sherry Matthews Group,Placement Vendor,Q4,04/14/2023,05/31/2023,Programmatic: Other
FY23,Vision Zero Spring FY23,DOT,Forum Daily,ForumDaily Inc,Newspaper (Digital),Digital,Russian,1522,Sherry Matthews Group,Placement Vendor,Q4,04/14/2023,06/30/2023,Programmatic: Other
